id_entertainer,slug,name,artist_billing,featured_flag,url,categories,sponsor_info,bio_web,description,keywords,performance_count,details
1,the-doobie-brothers,Doobie Brothers,,true,https://thedoobiebrothers.com/,800,Grandstand Concert Series is proudly sponsored by Sleep Number. Nightly Fireworks Spectacular is proudly sponsored by Mazda.,"Lineup change: The lineup for tonight’s show has changed. Opening act Dirty Dozen Brass Band will not perform, and Michael McDonald will not appear with The Doobie Brothers. The Doobie Brothers will still perform, and the show is now scheduled to begin at 7:30 p.m. We look forward to welcoming you to the historic Grandstand tonight for an evening full of Doobie Brothers hits!The Doobie Brothers’ rugged, real and authentic approach to rock and roll began in 1969, when a drummer named John Hartman arrived in Northern California and met Tom Johnston, a local singer/songwriter/guitarist. The two began playing local Bay Area bars and soon met singer/guitarist Pat Simmons, whose finger-style playing richly complemented Johnston’s R&B strumming-style, and the foundation for The Doobie Brothers was set. The group’s second record, Toulouse Street, became a breakout sensation. From there the band hit the road, tirelessly working its way around the world. The Doobie Brothers established themselves with a run of hits, including “Listen to the Music,” “Jesus Is Just Alright,” “China Grove,” “Black Water,” “Rockin’ Down the Highway” and “Long Train Runnin’.” Other Doobie Brother hits “What a Fool Believes,” “Minute by Minute,” “Takin’ It to the Streets,” and “You Belong to Me.” Multi-instrumentalist and vocalist John McFee joined in 1978 bringing his wide range of musical styles. The Doobie Brothers were inducted into the Vocal Group Hall of Fame in 2004, have won four GRAMMY® Awards, sold more than 48 million records worldwide, and tallied five Top 10 singles and 16 Top 40 hits. Known for dynamic live performances, the band plays close to 100 shows a year worldwide.",,"the doobie bros, doobies, doobys The Doobie Brothers - 50th Anniversary Tour featuring Tom Johnston, Pat Simmons, John McFee",1,"Lineup change: The lineup for tonight’s show has changed. Opening act Dirty Dozen Brass Band will not perform, and Michael McDonald will not appear with The Doobie Brothers. The Doobie Brothers will still perform, and the show is now scheduled to begin at 7:30 p.m. We look forward to welcoming you to the historic Grandstand tonight for an evening full of Doobie Brothers hits!The Doobie Brothers’ rugged, real and authentic approach to rock and roll began in 1969, when a drummer named John Hartman arrived in Northern California and met Tom Johnston, a local singer/songwriter/guitarist. The two began playing local Bay Area bars and soon met singer/guitarist Pat Simmons, whose finger-style playing richly complemented Johnston’s R&B strumming-style, and the foundation for The Doobie Brothers was set. The group’s second record, Toulouse Street, became a breakout sensation. From there the band hit the road, tirelessly working its way around the world. The Doobie Brothers established themselves with a run of hits, including “Listen to the Music,” “Jesus Is Just Alright,” “China Grove,” “Black Water,” “Rockin’ Down the Highway” and “Long Train Runnin’.” Other Doobie Brother hits “What a Fool Believes,” “Minute by Minute,” “Takin’ It to the Streets,” and “You Belong to Me.” Multi-instrumentalist and vocalist John McFee joined in 1978 bringing his wide range of musical styles. The Doobie Brothers were inducted into the Vocal Group Hall of Fame in 2004, have won four GRAMMY® Awards, sold more than 48 million records worldwide, and tallied five Top 10 singles and 16 Top 40 hits. Known for dynamic live performances, the band plays close to 100 shows a year worldwide."
4,okee-dokee-brothers,Okee Dokee Brothers,,true,https://www.okeedokee.org/,800,Grandstand Concert Series is proudly sponsored by Sleep Number. Nightly Fireworks Spectacular is proudly sponsored by Mazda.,"Justin Lansing and Joe Mailander have been exploring the outdoors together since they were kids. Now, as the GRAMMY®-winning Okee Dokee Brothers, they write songs to encourage kids and families to get outside and get creative. The duo’s most recent album, Winterland, is a tribute to the season of coziness, family time and outdoor fun! This cold-weather project is the follow-up to their wildly popular Adventure Album trilogy, which was inspired by their extended canoe trip down the Mississippi River (“Can You Canoe?”), their month-long trek along the Appalachian Trail (“Through The Woods”) and a joyous horseback adventure through the American West (“Saddle Up”). With songs written under wide-open skies and harmonies fine-tuned around the campfire, the natural world is at the heart of the duo’s Americana folk music. The Okee Dokee Brothers make room for kids to dance, for parents to share stories, and for everyone to gain respect for nature, each other and the world we live in.",,,1,"Justin Lansing and Joe Mailander have been exploring the outdoors together since they were kids. Now, as the GRAMMY®-winning Okee Dokee Brothers, they write songs to encourage kids and families to get outside and get creative. The duo’s most recent album, Winterland, is a tribute to the season of coziness, family time and outdoor fun! This cold-weather project is the follow-up to their wildly popular Adventure Album trilogy, which was inspired by their extended canoe trip down the Mississippi River (“Can You Canoe?”), their month-long trek along the Appalachian Trail (“Through The Woods”) and a joyous horseback adventure through the American West (“Saddle Up”). With songs written under wide-open skies and harmonies fine-tuned around the campfire, the natural world is at the heart of the duo’s Americana folk music. The Okee Dokee Brothers make room for kids to dance, for parents to share stories, and for everyone to gain respect for nature, each other and the world we live in."
5,darci-lynne-farmer,Darci Lynne Farmer,,true,https://www.darcilynne.com/,800,Grandstand Concert Series is proudly sponsored by Sleep Number. Nightly Fireworks Spectacular is proudly sponsored by Mazda.,"Winning NBC’s “America’s Got Talent” at just 12 years old by the most votes for a final performance in the history of the show, singer/ventriloquist Darci Lynne Farmer impresses audiences across the country with her sweetheart disposition and undeniable, show-stopping talent beyond her years. She is accompanied on stage by her musical friends, including a diva-esque rabbit, Petunia; a shy and soulful mouse, Oscar; and a sarcastic old woman, Edna. Singing through her friends helped the young entertainer find a voice inside she didn’t know she had and helped her overcome a lifelong struggle with shyness.An Oklahoma native, Darci began participating in talent-based pageants at a young age and picked up ventriloquism shortly after. Two weeks later, Darci began tackling talent shows, eventually making it to the biggest talent show on television, NBC’s “America’s Got Talent.” Following her big win, she has been featured on NBC’s “Little Big Shots,” Food Network’s “Kids Baking Championship,” “Ellen” and “TODAY.” Her first Christmas special, “Darci Lynne: My Hometown Christmas,”aired on NBC on Dec. 11, 2018, and, in January 2019, Darci returned to the “America’s Got Talent” stage for AGT “The Champions”and won second place. Darci and her friends are continually on the road bringing smiles to audiences across the country.This show will end at approximately 6:30 p.m.",,ventriloquist Darci Lynne: My Lips Are Sealed (Except When They’re Not) with special guest Okee Dokee Brothers,1,"Winning NBC’s “America’s Got Talent” at just 12 years old by the most votes for a final performance in the history of the show, singer/ventriloquist Darci Lynne Farmer impresses audiences across the country with her sweetheart disposition and undeniable, show-stopping talent beyond her years. She is accompanied on stage by her musical friends, including a diva-esque rabbit, Petunia; a shy and soulful mouse, Oscar; and a sarcastic old woman, Edna. Singing through her friends helped the young entertainer find a voice inside she didn’t know she had and helped her overcome a lifelong struggle with shyness.An Oklahoma native, Darci began participating in talent-based pageants at a young age and picked up ventriloquism shortly after. Two weeks later, Darci began tackling talent shows, eventually making it to the biggest talent show on television, NBC’s “America’s Got Talent.” Following her big win, she has been featured on NBC’s “Little Big Shots,” Food Network’s “Kids Baking Championship,” “Ellen” and “TODAY.” Her first Christmas special, “Darci Lynne: My Hometown Christmas,”aired on NBC on Dec. 11, 2018, and, in January 2019, Darci returned to the “America’s Got Talent” stage for AGT “The Champions”and won second place. Darci and her friends are continually on the road bringing smiles to audiences across the country.This show will end at approximately 6:30 p.m."
6,tim-mcgraw,Tim McGraw,,true,https://timmcgraw.com/,800,Grandstand Concert Series is proudly sponsored by Sleep Number. Nightly Fireworks Spectacular is proudly sponsored by Mazda.,"Only Single Seats Available.Tim McGraw’s unparalleled career includes 43 No. 1 radio singles, 16 No. 1 albums and countless industry awards and accolades. His unique chart achievements include having three singles in the Top 20 of the radio charts on multiple occasions, as well as having two singles spend more than 10 weeks at No. 1. His last solo project spawned one of the biggest hit singles of all-time, “Humble and Kind,” which McGraw also sang in Spanish. The song conveys a message that continues to impact fans around the world. He has routinely been cited as one of the biggest touring artists in the history of country music. As part of the host committee, McGraw welcomed his largest outdoor crowd ever to his Nashville performance at the 2019 NFL Draft. He also appeared in the NFL Tailgate Party for Super Bowl LII and the College Football Playoffs 2020.",,Tim McGraw with special guest Midland,1,"Only Single Seats Available.Tim McGraw’s unparalleled career includes 43 No. 1 radio singles, 16 No. 1 albums and countless industry awards and accolades. His unique chart achievements include having three singles in the Top 20 of the radio charts on multiple occasions, as well as having two singles spend more than 10 weeks at No. 1. His last solo project spawned one of the biggest hit singles of all-time, “Humble and Kind,” which McGraw also sang in Spanish. The song conveys a message that continues to impact fans around the world. He has routinely been cited as one of the biggest touring artists in the history of country music. As part of the host committee, McGraw welcomed his largest outdoor crowd ever to his Nashville performance at the 2019 NFL Draft. He also appeared in the NFL Tailgate Party for Super Bowl LII and the College Football Playoffs 2020."
7,midland,Midland,,true,https://www.midlandofficial.com/,800,Grandstand Concert Series is proudly sponsored by Sleep Number. Nightly Fireworks Spectacular is proudly sponsored by Mazda.,"Hailing from Dripping Springs, Texas, lead vocalist Mark Wystrach fronts country group Midland’s rich sound that is rounded out with lead guitarist/vocalist Jess Carson and bass player/vocalist Cameron Duddy. Rooted in tradition in both sound and style, the trio initially garnered attention playing clubs in the region. Its critically acclaimed sophomore album, Let It Roll (Big Machine Records), earned the No. 1 position on Billboard’s Top Country Album Sales chart upon release, receiving praise from outlets such as Rolling Stone, Variety, NPR and Entertainment Weekly, among others. Wystrach, Carson and Duddy all played an integral role in writing the 14-track album with Shane McAnally and Josh Osborne. The album was produced by Dann Huff, McAnally and Osborne and was a follow-up to the critically acclaimed debut album, On The Rocks (Big Machine Records). Launched in 2017 with rave reviews, that album was declared “the year’s best country album” by Washington Post. The group’s two-time Platinum-certified chart-topping debut “Drinkin’ Problem” earned the band its first GRAMMY® nominations for Best Country Song and Best Country Duo/Group Performance. Midland was also named New Vocal Group of the Year at the 2018 ACM Awards.",,,1,"Hailing from Dripping Springs, Texas, lead vocalist Mark Wystrach fronts country group Midland’s rich sound that is rounded out with lead guitarist/vocalist Jess Carson and bass player/vocalist Cameron Duddy. Rooted in tradition in both sound and style, the trio initially garnered attention playing clubs in the region. Its critically acclaimed sophomore album, Let It Roll (Big Machine Records), earned the No. 1 position on Billboard’s Top Country Album Sales chart upon release, receiving praise from outlets such as Rolling Stone, Variety, NPR and Entertainment Weekly, among others. Wystrach, Carson and Duddy all played an integral role in writing the 14-track album with Shane McAnally and Josh Osborne. The album was produced by Dann Huff, McAnally and Osborne and was a follow-up to the critically acclaimed debut album, On The Rocks (Big Machine Records). Launched in 2017 with rave reviews, that album was declared “the year’s best country album” by Washington Post. The group’s two-time Platinum-certified chart-topping debut “Drinkin’ Problem” earned the band its first GRAMMY® nominations for Best Country Song and Best Country Duo/Group Performance. Midland was also named New Vocal Group of the Year at the 2018 ACM Awards."
8,box-on,Box On,,true,https://boxonband.com/,800,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"Award-winning family polka band Box On attracts audiences across the country with an exceptional style of progressive folk music. Playing a variety of standards from swing, ‘50s rock and country to polkas, Latin music and line dances, the group’s shows are a musical adventure full of excitement, youth and energy.",,,4,"Award-winning family polka band Box On attracts audiences across the country with an exceptional style of progressive folk music. Playing a variety of standards from swing, ‘50s rock and country to polkas, Latin music and line dances, the group’s shows are a musical adventure full of excitement, youth and energy."
9,tonic-sol-fa,Tonic Sol-fa,,true,https://www.tonicsolfa.com/,800,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"A groundbreaking a cappella ensemble from Minnesota, Tonic Sol-fa stands as one of the leading forces in the world of vocal music with Emmy Award-winning arrangements and multi-million-dollar-selling compositions. Improvisational and passionate music combined with exceptional stage presence make it one of the most in-demand vocal groups in the Midwest.","A groundbreaking a cappella ensemble from Minnesota, Tonic Sol-fa stands as one of the leading forces in the world of vocal music with Emmy Award-winning arrangements and multi-million-dollar-selling compositions. Improvisational and passionate music combined with cutting-edge stage presence make them one of the most in-demand vocal groups in the Midwest.",,4,"A groundbreaking a cappella ensemble from Minnesota, Tonic Sol-fa stands as one of the leading forces in the world of vocal music with Emmy Award-winning arrangements and multi-million-dollar-selling compositions. Improvisational and passionate music combined with exceptional stage presence make it one of the most in-demand vocal groups in the Midwest."
10,shenandoah,Shenandoah,,true,https://www.shenandoahband.com/,800,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"Considered by many country music fans one of the greatest groups in the genre, award-winning Shenandoah is known for distinctive vocals, skilled musicianship, and delivering songs that celebrate the importance of faith and family while reveling in the joys of life in a small town. With the release of their first new album in two decades, these musicians launch into the next chapter of their legacy as hitmakers.",,,4,"Considered by many country music fans one of the greatest groups in the genre, award-winning Shenandoah is known for distinctive vocals, skilled musicianship, and delivering songs that celebrate the importance of faith and family while reveling in the joys of life in a small town. With the release of their first new album in two decades, these musicians launch into the next chapter of their legacy as hitmakers."
11,king-calaway,King Calaway,,true,https://www.kingcalaway.com/,0,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"Named one of seven new country acts to watch by Billboard in 2019, King Calaway brings a fresh, energetic live show that’s taking the country music industry by storm. This multi-national supergroup of harmony-singing, instrument-playing musicians are country stars for a new generation, singing songs that erase the boundaries between genres and countries.",,,4,"Named one of seven new country acts to watch by Billboard in 2019, King Calaway brings a fresh, energetic live show that’s taking the country music industry by storm. This multi-national supergroup of harmony-singing, instrument-playing musicians are country stars for a new generation, singing songs that erase the boundaries between genres and countries."
12,red-bull-band,The 34th Infantry Division “Red Bull” Band,,true,https://minnesotanationalguard.ng.mil/band,800,Leinie Lodge Bandshell is proudly sponsored by Jacob Leinenkugel Brewing Co.,"Stationed in Rosemount, the 34th Infantry Division ""Red Bull"" Band of the Minnesota National Guard performs throughout the region and world, sharing the story of the Minnesota Citizen Soldier. Proudly serving state and nation for more than 100 years, the unit provides music throughout the spectrum of military operations to instill the will to fight and win, foster the support of citizens and promote national interests at home and abroad.","Stationed in Rosemount, the 34th Infantry Division “Red Bull” Band of the Minnesota National Guard performs throughout the region and world, sharing the story of the Minnesota Citizen Soldier. Proudly serving state and nation for more than 100 years, the unit provides music throughout the spectrum of military operations to instill the will to fight and win, foster the support of citizens and promote national interests at home and abroad.",,4,"Stationed in Rosemount, the 34th Infantry Division ""Red Bull"" Band of the Minnesota National Guard performs throughout the region and world, sharing the story of the Minnesota Citizen Soldier. Proudly serving state and nation for more than 100 years, the unit provides music throughout the spectrum of military operations to instill the will to fight and win, foster the support of citizens and promote national interests at home and abroad."
