id_event,id_entertainer,id_location,slug,datetime_start,datetime_end,tour_name,billing_order,ticket_url,seating_description,all_day_flag,name,type,latitude,longitude,location_path,location
2,1,115,duran-duran,2023-08-31 19:00:00,,,1,https://event.etix.com/ticket/p/48181933/,,0,DURAN DURAN: FUTURE PAST with special guests Bastille and Nile Rodgers & CHIC,grandstand,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
4,2,115,-,2023-08-31 19:00:00,,,10,,,0,Bastille,schedule,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
6,3,115,nile-rodgers-and-chic,2023-08-31 19:00:00,,,11,,,0,Nile Rodgers & CHIC,schedule,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
8,4,115,the-chicks,2023-08-25 19:00:00,,,1,https://event.etix.com/ticket/p/2484524/,,0,THE CHICKS: World Tour 2023 with special guest Wild Rivers,grandstand,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
13,6,115,brandi-carlile,2023-08-29 19:00:00,,,1,https://event.etix.com/ticket/p/94582264/,,0,Brandi Carlile with special guest Wynonna Judd,grandstand,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
15,7,115,yung-gravy,2023-08-30 19:00:00,,,1,https://event.etix.com/ticket/p/66603189/,,0,Yung Gravy with special guest bbno$,grandstand,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
17,8,115,the-currents-music-on-a-stick,2023-09-02 19:00:00,,,1,https://event.etix.com/ticket/p/34888077/,,0,The Current's Music On-A-Stick featuring The Hold Steady with special guests Bob Mould Band and Dillinger Four,grandstand,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
19,9,115,bob-mould-band,2023-09-02 19:00:00,,,10,,,0,Bob Mould Band,schedule,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
21,10,115,amateur-talent-contest-finals,2023-09-03 19:30:00,,,1,,,0,MSF 50th Annual Amateur Talent Contest Finals,grandstand,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
23,11,115,wild-rivers,2023-08-25 19:00:00,,THE CHICKS: World Tour 2023 with special guest Wild Rivers,10,,,0,Wild Rivers,schedule,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
25,12,115,bbno,2023-08-30 19:00:00,,,10,,,0,bbno$,schedule,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
28,13,115,happy-together-tour,2023-08-28 19:00:00,,,1,,,0,"Happy Together Tour 2023 featuring The Turtles, Little Anthony, Gary Puckett & The Union Gap, The Vogues, The Classics IV and The Cowsills",grandstand,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
30,14,115,the-turtles,2023-08-28 19:00:00,,,10,,,0,The Turtles,schedule,44.981997,-93.173279,Grandstand Building ➜ Grandstand Stage,Grandstand Stage
