id,pid,slug,name,type,description,excerpt,time_open,time_close,time_notes,price,price_notes,latitude,longitude
1,0,fairgrounds,Fairgrounds,root,,,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,,,,
2,1,fan-central,FAN Central,building,"This hub of hometown sports teams features action-packed activities and player appearances. Find everything necessary to deck yourself out in the regalia of your favorite teams, including the Timberwolves, Lynx, United FC, Vixen, RollerGirls, the St. Paul Saints and more.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.980847,-93.171007
3,1,grandstand-building,Grandstand Building,building,"The historic heart of the State Fairgrounds! Cap off your day at the fair with an evening show under the stars – 11 nightly performances by national musical acts and entertainers, plus the Amateur Talent Contest Finals. The interior two levels of the Grandstand feature can’t-miss shopping at 200 vendors, including 20 boutique-style merchants in a repurposed eat-shop-sip area known as The Veranda.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.981217,-93.173157
4,1,home-improvement-building,Home Improvement Building,building,"Planning to update or remodel your home? Find insight, ideas, expertise and products to jump start your to-do list.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.981876,-93.168587
5,1,international-bazaar,International Bazaar,building,"Take a trip around the world! Meander through an open-air market featuring cuisine, décor, clothing, crafts and wares from mercantile shops representing regions around the globe. Captivating music and dance performances fill the large free stage all day with premier entertainment at night.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.978388,-93.169437
6,1,merchandise-mart,Merchandise Mart,building,"Just like the name implies, this building features a wide variety of goods and gadgets – from practical and unique to trendy and fun – for every fair guest.",,"{'date': '2021-09-07 09:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 21:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",Closes at 8 p.m. on Labor Day,,,44.980892,-93.168791
7,1,ramberg-music-cafe,Ramberg Music Cafe,building,"The perfect place to rejuvenate, relax and recharge! An eclectic mix of singer-songwriters and musicians playing everything from jazz, soul and blues to polka, pop and more perform throughout the day. While you’re here, learn more about amazing past winners of the Outstanding Senior Citizens Awards.",,"{'date': '2021-09-07 08:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}","{'date': '2021-09-07 20:00:00.000000', 'timezone_type': 3, 'timezone': 'America/Chicago'}",,,,44.978954,-93.171151
8,315,christensen-farms-stage,Christensen Farms Stage,stage,"Stop by the Christensen Farms Stage to meet veterinarians and some animal friends from the CHS Miracle of Birth Center, hear from members of FFA, and learn the ins and outs of life on the farm!",,,,,,,44.978157,-93.173039
9,310,the-dirt-demo-stage,The DIRT Demo Stage,stage,"Learn from master gardeners, talented florists, lawn enthusiasts and other outdoor experts as they offer informative, entertaining demonstrations and question-and-answer sessions all day long on The DIRT Demo Stage located in the Agriculture Horticulture Building. Demonstrations start at 10 a.m. each day.",,,,,,,44.979553,-93.169677
10,1,the-garden-stage,The Garden Stage,stage,"Get your groove on at The Garden Stage. During the day, step up to the mic and belt it out in karaoke, then stick around at night to boogie down with the D.J. entertainment. ",,,,,,,44.980909,-93.170078
