id,slug,name,teaser,excerpt,description,bullets,notes,links,location_name,directions,disclaimer,sort_order
1,joyful-world-mural-park,Joyful World Mural Park,,"Imagination and joy come to life as local artists paint 12 large-scale artworks that reflect the world they want to live in. Throughout the fair’s 12 days, artists will be on-site creating their murals. Joyful World Mural Park is produced in partnership with Forecast Public Art and the Minnesota State Fair Foundation.","Stop by to watch the work in progress by these participating artists: Leslie Barlow, Jennifer Davis, Jose Dominguez, Hibaaq Ibrahim, Tom Jay, Maiya Lea, Geno Okok, Shade Pratt, Xee Reiter, Joy Spika, Kao Lee Thao and Thomasina Topbear",,"Select artists on-site daily, 11 a.m. to 3 p.m. (weather permitting). Please note that the artists will be working on their artwork on a rotating basis, and not all artists will be on-site every day. Murals and information about the artists will be on display all 12 days of the fair.",,,Located west of Chambers Street between West Dan Patch and Carnes avenues,,1
2,riptide,Riptide ,,"This spectacular roller coaster, reaching 55’ high, has all the ups and downs and twists and turns for that end-of-summer adrenaline rush you missed last year.",New at Mighty Midway,,Please note that riders must be 48” tall.,"[{'url': 'https://www.mnstatefair.org/location/mighty-midway/', 'title': 'Mighty Midway'}]",,Located at Mighty Midway,,2
3,american-red-cross,American Red Cross Blood Drive,,Give donating a spin! The American Red Cross brings an expanded pop-up donation site to the North End Event Center at a time when the nation's blood supply could use a big boost. Advance appointments are strongly encouraged.,"Transforming the North End Event Center into a large blood donation site, the American Red Cross will have more donation beds, more staff and more space to create an enjoyable, comfortable donation experience at the fair. The center will also include Power Red machines, so eligible donors can give nearly twice the amount of red cells to help more patients. In addition, eligible donors can choose to receive free sickle cell trait screening. Plus, of course there will be donor giveaways and the opportunity to learn more about the work of the Red Cross. The summer’s severe blood shortage and ongoing disaster responses mean the need for blood donations is great – learn more and make an appointment at the link below. Please note that the last appointment is one hour prior to closing. (Face coverings are required in the North End Event Center for the blood drive.)",,"Daily, 9 a.m. to 9 p.m. (8 p.m. on Labor Day); last appointment is approximately one hour prior to closing","[{'url': 'https://www.redcross.org/local/mn-nd-sd/about-us/news-and-events/events/donate-blood-at-the-state-fair.html', 'title': 'American Red Cross at the Minnesota State Fair'}]",,"Located in the North End Event Center, north of Murphy Avenue",,3
4,cattle-barn-1920,Celebrating 100 Years of the Cattle Barn,,"One of the most iconic buildings on the State Fairgrounds, the Cattle Barn, was completed in 1921. Stop by to view an educational timeline outlining the classic building’s many milestones over the past century, plus a photo opportunity to commemorate 100 years.","The Cattle Barn, originally known as the Livestock Pavilion, is a massive brick structure covering 117,450 square feet with sufficient housing for 1,000 head of cattle. It was designed by famed and prolific architect Clarence H. Johnston. Among his extensive list of work is the design of Williams Arena and Northrop Auditorium at the University of Minnesota, the Glensheen Mansion in Duluth, and dozens of stately homes in St. Paul, especially on Summit Avenue.",,,"[{'url': 'https://www.mnstatefair.org/animals/cattle/', 'title': 'More info about Cattle Barn activities, breeds and hours'}]",,"The Cattle Barn is located south of Judson Avenue, between Stevens and Liggett streets",,4
5,more-new-food-babas,More New Food Vendors,,"Welcome! Five booths – Auntie M's Gluten Free, Baba’s, Libby's Ice Cream & Co., Solem Concessions Cheese Curds and Mini Donuts, and Spinning Wylde – will make their debut at the 2021 Minnesota State Fair! They join the four new food vendors announced in mid-July.",,"Auntie M's Gluten Free: Featuring gluten-free corndogs, funnel cakes and cheese curds. Funnel cakes are available in strawberries and cream and apple pie flavors or with powdered sugar, cinnamon or chocolate topping choices (Located on the south side of Judson Avenue between Nelson & Underwood streets, at Adventure Park)Baba's: Featuring a variety of hummus bowls, including Hummus bi lahme (minced beef shawarma, lemon sauce, parsley, pine nuts, sumac); Chili Baba (garlic chili oil, kimchi, scallions, za’atar); Falafelicious (falafel, fried eggplant, warm chickpeas, pickled cabbage, Arabic pickles, tahini, sumac); Dilly Dilly (dill pickle hummus, dill pickles, cheese curds, crispy onions; Truffle (truffle hummus, roasted wild mushrooms, pine nuts); Baba Gone Wild (create your own); and more. Served with warm or fried pita (Located on the east side of Underwood Street between Lee & Randall avenues, just south of Little Farm Hands)Libby's Ice Cream & Co.: Featuring soft serve ice cream in a variety of flavors served in cones and cups and as shakes, sundaes and floats. Plus, banana split on-a-stick, frozen banana on-a-stick and cheesecake on-a-stick - all dipped in chocolate (Located east of Chambers Street, just south of the Grandstand)Solem Concessions Cheese Curds and Mini Donuts: Featuring brand-new blueberry mini donuts, plus classic cheese curds in Cajun (new to the fair!), ranch, garlic and original flavors (Located on the east side of Underwood Street between Murphy & Lee avenues)Spinning Wylde: Featuring more than 30 dye-free and natural flavors of handspun cotton candy clouds made with organic cane sugar. Also offering fresh-pressed watermelon juice garnished with a watermelon gummy skewer and an edible straw (Located on the east side of Underwood Street between Lee & Randall avenues, just south of Little Farm Hands)",,"[{'url': 'https://www.mnstatefair.org/new-this-year/food/', 'title': 'Official New Foods at the 2021 Minnesota State Fair'}]",,,,5
6,destination-healthy-skin,Destination Healthy Skin,,Ten minutes is all it takes to achieve one of the keys to healthy skin – early detection. The Skin Cancer Foundation’s mobile skin cancer education and screening program offers free full-body skin exams by licensed dermatologists. Screenings are done on a first-come basis and subject to physician availability. No appointment necessary. (Aug. 28 only),"Inside this specially equipped RV, guests can ask questions and get skin cancer early detection and prevention information. After completing a brief form, visitors enter a private room, change into a gown, and a licensed dermatologist will exam their skin from head to toe. The doctor will note any findings on the form and make recommendations for next steps, which may include a formal visit to a dermatologist. The exam takes approximately 10 minutes. It’s best to arrive early, as screenings are provided on a first-come basis and subject to physician availability. (Please note that masks will be required aboard the RV and will be provided for visitors if they do not have one. The RV is equipped with a HEPA air filtration system, and hand sanitizer will be available.)",,"Saturday, Aug. 28, 9 a.m. to 9 p.m. ","[{'url': 'https://www.skincancer.org/early-detection/destination-healthy-skin/', 'title': 'The Skin Cancer Foundation’s Destination Healthy Skin'}]",,"Located on Underwood Street, north of Murphy Avenue east of the Pet Pavilions",,6
7,catch-co-bassmobile,Catch Co.’s Bassmobile ,,Get reeled in to fishing! This outfitted RV features family-friendly games and activities – and giveaways – to share the joy of fishing and inspire beginning anglers. Plus explore Catch Co.’s innovative fishing gear products. (Sept. 5 & 6 only),"With a mission to rescue people from the indoors by creating amazing products, content and shopping experiences for the modern angler, Catch Co. started as a Facebook group to share tips and fishing tales. The company now has more than 2 million followers across its social media channels, including its popular YouTube channel. In addition to fun, engaging activities, the Bassmobile will also showcase a pop-up shop of its innovative Mystery Tackle Box subscription service and fishing gear available at MysteryTackleBox.com and shopkarls.com. ",,"Sunday, Sept. 5, 9 a.m. to 9 p.m.; Monday, Sept. 6, 9 a.m. to 8 p.m.",,,Located on the south side of Wright Avenue between Underwood and Cooper streets,,7
8,fraser-sensory-building,Fraser Sensory Building,,"This new take-a-break oasis is specially created for fair guests of all ages with sensory-processing challenges who may find the sights, sounds, smells and crowds of the fair overwhelming. ","The Fraser take-a-break sensory space in the Fraser Sensory Building offers a calming atmosphere, support staff and private side entrance. Fraser-trained sensory support volunteers will help fair guests calm their sensory systems with tools and techniques, so they can rejoin the fun. Front-of-building activities include games, giveaways, special guests, employment information and educational resources. Fraser, a nonprofit that has served Minnesotans for more than 85 years, is the premier provider and expert on services that intersect the needs of autism, mental health and diverse intellectual, emotional and physical needs.",,"Daily, 9 a.m. to 9 p.m. (8 p.m. on Labor Day)",,,"Located on the west side of Cosgrove Street, south of the Home Improvement Building",,8
9,north-american-six-horse-hitch,Draft Horse Classic Cart Series Central Regional Finals,,One of the most prestigious draft horse events in the United States and Canada holds its North American Classic Cart Series Central Regional Finals exhibition at the Minnesota State Fair. ,"The Minnesota State Fair Horse Show is proud to host this event featuring an invited list of top  finalists in the Central Region, encompassing 12 states and central Canada. The North American Classic Cart Series features a driver in a gleaming cart putting a one-ton draft horse through its paces, with the pair moving as a single unit. Competitors will vie for a share of $5,000 in prize money. The Classic Cart Series is a program of the North American Six-Horse Hitch Classic Series. This event is free with fair admission.",,"The North American Classic Cart Series Central Regional Finals will be held Thursday, Aug. 26, at 3 p.m., in the Lee & Rose Warner Coliseum.","[{'url': 'https://www.mnstatefair.org/animals/horses/', 'title': 'More info about horse show activities, breeds and Horse Barn hours'}]",,"Located in the Lee & Rose Warner Coliseum, south of Judson Avenue between Liggett and Clough streets",,9
10,covid-19-vaccine-clinic,Covid Community Vaccination Clinic at the Fair,,"Free, safe and effective covid vaccinations are coming to the Minnesota State Fair! No identification or insurance necessary. ","The Minnesota Department of Health, Ramsey County and Homeland Health are offering all eligible fair guests the chance to roll up their sleeves and get their covid vaccine. Minnesotans can walk into the community vaccination clinic at the North End Event Center to receive a Pfizer-BioNTech or J&J/Janssen vaccine (based on availability), and after a short waiting period, return to the fun of the Great Minnesota Get-Together. (Face coverings are required in the North End Event Center for the Community Vaccine Clinic.) Appointments and walk-ins are welcome. Please note that the last appointment is approximately one hour prior to closing. Click the link below to schedule your appointment.",,"Daily, 9 a.m. to 9 p.m. (8 p.m. on Labor Day); Last appointment is approximately one hour prior to closing. ","[{'url': 'https://my.primary.health/r/statefair?registration_type=default', 'title': 'Click this link to schedule your vaccine appointment.'}]",,"Located in the North End Event Center, north of Murphy Avenue",,10
