id,exhibitor_id,account_code,lic_num,account_branch_id,license_branch_id,site_num,branch_num,name,slug,description,additional_information,alcoholic_beverages,license_text,products,keywords,directions,latitude,longitude,is_food,categories,promotions
1023.1,20646,1023,1023,1023-1,1023-1,1,1,Pronto Pups,1023.1,"Open 9 a.m. to 10 p.m. (9 p.m. Labor Day)
Accepts credit cards","Open 9 a.m. to 10 p.m. (9 p.m. Labor Day)
Accepts credit cards",,"bottled water, Coca-Cola, Diet Coke, Sprite, Pronto Pup on-a-stick (6"" flour-battered deep-fried hot dog), Papa Pup on-a-stick (10"" flour-battered deep-fried hot dog), Coca-Cola Zero","bottled water, Coca-Cola, Diet Coke, Sprite, Pronto Pup on-a-stick (6"" flour-battered deep-fried hot dog), Papa Pup on-a-stick (10"" flour-battered deep-fried hot dog), Coca-Cola Zero","prontopup, pronto-pup, pronto pup, prnto pup, pronto up, waterbottle, bottle, coke, cola, soda, pop, coke, cola, soda, pop, diet coca-cola, Sprit, lemon, lime, soda, pop, coke, cola, soda, pop, coke zero, zero sugar, waterbottle, bottle, coke, cola, soda, pop, coke, cola, soda, pop, diet coca-cola, Sprit, lemon, lime, soda, pop, coke, cola, soda, pop, coke zero, zero sugar",West side of Underwood St. between Dan Patch & Carnes avenues,44.98055935251799,-93.17079492692308,1,"[2, 34, 37, 61]",[]
1286.1,20586,1286,1286,1286-1,1286-1,1,1,West Indies Soul Food,1286.1,,,,"Turmeric Ginger Lemon Surprise (fresh ginger, turmeric syrup, dash of bitters, Original Caribbean Lemonade, gluten-free, vegan), Jerk pork chop, Jerk chicken legs, Sweet potato pie, sweet tea, Jamaican Blue Mountain Coffee, Caribbean lemonade, Jamaican jerk chicken wings, Jamaican Beef Patties, Jamaican Chicken Patties, Jamaican Jerk vegetarian patties, West Indies Soul sauces, bottled water","Turmeric Ginger Lemon Surprise (fresh ginger, turmeric syrup, dash of bitters, Original Caribbean Lemonade, gluten-free, vegan), Jerk pork chop, Jerk chicken legs, Sweet potato pie, sweet tea, Jamaican Blue Mountain Coffee, Caribbean lemonade, Jamaican jerk chicken wings, Jamaican Beef Patties, Jamaican Chicken Patties, Jamaican Jerk vegetarian patties, West Indies Soul sauces, bottled water","ice tea, icetea, icedtea, iced-tea, ice-tea, sweettea, sweet-tea, waterbottle, bottle, ice tea, icetea, icedtea, iced-tea, ice-tea, sweettea, sweet-tea, waterbottle, bottle","At the International Bazaar, south wall",44.97802887769784,-93.16905537884615,1,"[2, 34, 38, 61]",[]
1288.1,19969,1288,1288,1288-1,1288-1,1,1,Sara's Tipsy Pies,1288.1,"Open 9 a.m. to 9 p.m. (8 p.m. Labor Day)
Accepts credit cards
Vegan options (Irish Apple Tipsy Pie)
Gluten-friendly options (Minty Magic & Irish Pecan tarts; please confirm with vendor)","Open 9 a.m. to 9 p.m. (8 p.m. Labor Day)
Accepts credit cards
Vegan options (Irish Apple Tipsy Pie)
Gluten-friendly options (Minty Magic & Irish Pecan tarts; please confirm with vendor)",,"Tipsy Pecan Tart (gluten-friendly pie infused with alcohol), coffee, Minty Magic Tart (gluten-friendly option available), bottled water, Boozy Blueberry Lemon Tipsy Pie infused with alcohol, Caramel Apple Tipsy Pie infused with alcohol, Irish Apple Tipsy Pie infused with alcohol, Onion Gouda Tipsy Pie infused with alcohol, bottled Coca-Cola, Italian Duo Dunkers (two hand pies, sausage/pepperoni/mozzarella/pizza sauce, chicken/mushrooms/spinach/garlic alfredo sauce)","Tipsy Pecan Tart (gluten-friendly pie infused with alcohol), coffee, Minty Magic Tart (gluten-friendly option available), bottled water, Boozy Blueberry Lemon Tipsy Pie infused with alcohol, Caramel Apple Tipsy Pie infused with alcohol, Irish Apple Tipsy Pie infused with alcohol, Onion Gouda Tipsy Pie infused with alcohol, bottled Coca-Cola, Italian Duo Dunkers (two hand pies, sausage/pepperoni/mozzarella/pizza sauce, chicken/mushrooms/spinach/garlic alfredo sauce)","saras, sarah's, tipsypie, sarastipsy, tipsee, tispy, breakfast, gluten-free, gluten free, new, waterbottle, bottle, coke, cola, soda, pop, bottle, waterbottle, bottle, coke, cola, soda, pop, bottle","In the Food Building, northwest wall",44.98047958273381,-93.16995132307692,1,"[2, 34, 70, 76]","{'Blue Ribbon Bargain Book': [{'offer': '$3 off one regular-priced hand pie (Regularly $9)', 'category': 'Blue Ribbon Bargain Book'}], 'Giveaways (Free)': [{'offer': 'Buttons with purchase', 'category': 'Giveaways (Free)'}]}"
1328.1,20028,1328,1328,1328-1,1328-1,1,1,The Anchor Coffee House,1328.1,"Open 7 a.m. to 9 p.m.
Accepts credit cards
Vegan options (non-dairy milk upon request)
Gluten-friendly options (banana chocolate chip muffin, scotcharoo bar; please confirm with vendor)","Open 7 a.m. to 9 p.m.
Accepts credit cards
Vegan options (non-dairy milk upon request)
Gluten-friendly options (banana chocolate chip muffin, scotcharoo bar; please confirm with vendor)",,"gluten-free banana chocolate chip muffins, cold brew coffee, nitro cold brew coffee, Gluten friendly scotcharoo bar, cream cold and/or hot brew lattes (vanilla, caramel, chocolate mocha), fresh brewed coffee (regular or decaf), hot tea (black & herbal), iced herbal teas, Cold Brew Lavender Shandy (cold brew coffee and lavender lemonade), caramel latte, chai tea latte, mini donut latte, mocha latte, vanilla latte","gluten-free banana chocolate chip muffins, cold brew coffee, nitro cold brew coffee, Gluten friendly scotcharoo bar, cream cold and/or hot brew lattes (vanilla, caramel, chocolate mocha), fresh brewed coffee (regular or decaf), hot tea (black & herbal), iced herbal teas, Cold Brew Lavender Shandy (cold brew coffee and lavender lemonade), caramel latte, chai tea latte, mini donut latte, mocha latte, vanilla latte","breakfast, gluten free, gluten-free",West side of Underwood St. between Dan Patch and Carnes avenues,44.98051503597122,-93.17077029615385,1,"[2, 63]",[]
1416.1,20898,1416,1416,1416-1,1416-1,1,1,LuLu's Public House,1416.1,"Open 7 a.m. to 10:30 p.m. (9 p.m. Labor Day)
Accepts credit cards","Open 7 a.m. to 10:30 p.m. (9 p.m. Labor Day)
Accepts credit cards","Arnold Palmer Spiked Raspberry Slushy
Back Channel Edna's IPA
Bauhaus Nah Blonde (Non-Alcoholic)
Busch Light
Castle Danger Honey Raspberry Wheat
Cayman Jack Margarita Slushy
Coors Light
Deschutes Fresh Squeezed IPA
Fulton Lonely Blonde
Indeed Strawberry Fool Cream Ale
Jack Daniel's Country Cocktail Southern Peach Slushy
Leinenkugel's Juicy Peach
Lift Bridge Blue Hawaiian
Lift Bridge Hard Seltzer The Bomb
Lift Bridge Mango Blonde
Michelob Golden Draft Light
Per Se Hibiscus Margarita (Non-Alcoholic)
Rasmelon Lemonade Slushy
Rebel Hard Coffee Salted Caramel Latte Slushy
Schell's Peach-E-Keen (NEW)
Schell's x Tattersall A Ginger Suntan (NEW)
Sociable Cider Werks Limeade Cider (NEW)
Sociable Cider Werks Mead For Speed: Orange Honey Blossom (NEW)
Sociable Cider Werks Mimosa
Sol Chelada
Summit Extra Pale Ale
Surly LuLucifer's Lager (NEW)
Surly One Man Mosh Pit Hazy IPA
White Claw Hard Seltzer Black Cherry
White Claw Hard Seltzer Mango
White Claw Hard Seltzer Raspberry","beer, Schell's Oktoberfest Infused Brat (Oktoberfest infused fried onions, brat bun), Southern Chicken Biscuit Sandwich (Betty & Earl's biscuit, jalapeño pimento cheese spread, chicken tender), Bull Bites (Cajun beef tenderloin tips), mac & cheese on-a-stick, prime rib tacos (prime rib, tortilla, onions, peppers, chili con queso), walleye taco, BANG BANG Chicken Tenders (with BANG BANG or Seoul Sauce), Scorchin' Ghost Pepper Cheese Bites (breaded & fried ghost pepper served with an orange marmalade horseradish dipping sauce), Breakfast Double Double (sausage patties, American cheese slices, toasted English muffin), Love Me Tender (Betty & Earls biscuit, honey sriracha sauce, scrambled eggs, cheese), Tot Dog (all-beef hot dog, corn dog batter with minced tater tots and cheddar cheese and onions, deep-fried), Pepsi, Diet Pepsi, Starry, Mountain Dew, Diet Mountain Dew, Dr Pepper, bottled water, Red Bull, Red Bull slushes, coffee, Not Your Madre's Biscuit & Gravy, Cheesecake Curds (cheesecake pieces covered in funnel cake batter & fried, dusted with powdered sugar & salt, strawberry dipping sauce), Fruity Cereal Milk Biscuit (biscuit with fruity cereal milk & cereal bits, icing flavored with fruity cereal, topped with cereal bits)","beer, Schell's Oktoberfest Infused Brat (Oktoberfest infused fried onions, brat bun), Southern Chicken Biscuit Sandwich (Betty & Earl's biscuit, jalapeño pimento cheese spread, chicken tender), Bull Bites (Cajun beef tenderloin tips), mac & cheese on-a-stick, prime rib tacos (prime rib, tortilla, onions, peppers, chili con queso), walleye taco, BANG BANG Chicken Tenders (with BANG BANG or Seoul Sauce), Scorchin' Ghost Pepper Cheese Bites (breaded & fried ghost pepper served with an orange marmalade horseradish dipping sauce), Breakfast Double Double (sausage patties, American cheese slices, toasted English muffin), Love Me Tender (Betty & Earls biscuit, honey sriracha sauce, scrambled eggs, cheese), Tot Dog (all-beef hot dog, corn dog batter with minced tater tots and cheddar cheese and onions, deep-fried), Pepsi, Diet Pepsi, Starry, Mountain Dew, Diet Mountain Dew, Dr Pepper, bottled water, Red Bull, Red Bull slushes, coffee, Not Your Madre's Biscuit & Gravy, Cheesecake Curds (cheesecake pieces covered in funnel cake batter & fried, dusted with powdered sugar & salt, strawberry dipping sauce), Fruity Cereal Milk Biscuit (biscuit with fruity cereal milk & cereal bits, icing flavored with fruity cereal, topped with cereal bits)","lulus, lu lu, looloos, loo loo, lu-lu, breakfast, new, walleye tacos, all beef, allbeef, tater tot, tatertot, soda, pop, cola, soda, pop, cola, diet soda, diet pop, sierra mist, lemon, lime, soda, pop, soda, pop, soda, pop, soda, pop, doctor pepper, peper, dr. pepper, waterbottle, bottle, RedBull, energy drink, caffeinated, caffeine, caffindated, caffine, Redbull, all beef, allbeef, tater tot, tatertot, soda, pop, cola, soda, pop, cola, diet soda, diet pop, sierra mist, lemon, lime, soda, pop, soda, pop, soda, pop, soda, pop, doctor pepper, peper, dr. pepper, waterbottle, bottle, RedBull, energy drink, caffeinated, caffeine, caffindated, caffine, Redbull","At West End Market, south of Schilling Amphitheater",44.98135261870504,-93.17765151730770,1,"[2, 34, 35, 38, 39, 40, 61, 63]",[]
1416.2,20628,1416,1416,1416-1,1416-1,2,1,Schell's Booth,1416.2,"Proud sponsor of Schell's Stage
Open 7 a.m. to 10:30 p.m. (9 p.m. Labor Day)
Accepts credit cards","Proud sponsor of Schell's Stage
Open 7 a.m. to 10:30 p.m. (9 p.m. Labor Day)
Accepts credit cards","Grain Belt Blu
Grain Belt Blu Frozen Topper
Grain Belt Nordeast
Grain Belt Premium
Schell's Deer Brand
Schell's Firebrick
Schell's Fresh Prints Cold IPA
Schell's Oktoberfest
Schell's Sangria
Schell's x Tattersall A Ginger Suntan (NEW)","beer, Schell's beer","beer, Schell's beer","
shells, schels, schells, shells, schels, schells, shells, schels, schells","At West End Market, west section",44.98134818705036,-93.17796248076924,1,"[2, 38, 39, 40]",[]
1446.1,20688,1446,1446,1446-1,1446-1,1,1,Asian Invasion,1446.1,,,,"Hawaiin shirts, Pandora arcade game box, T-shirts with humorous puns, little panda bank boxes, collectible die cast metal motorcycles, horoscope charms, leather inscribed bracelets, pop-up three dimensional greeting cards for all occasions","Hawaiin shirts, Pandora arcade game box, T-shirts with humorous puns, little panda bank boxes, collectible die cast metal motorcycles, horoscope charms, leather inscribed bracelets, pop-up three dimensional greeting cards for all occasions",,"In the Grandstand, lower level, north center section",44.98145159250646,-93.17330931782344,0,"[1, 38]",[]
1457.1,20186,1457,1457,1457-1,1457-1,1,1,Dino's Gyros,1457.1,"Open 9 a.m. to 11 p.m. (9 p.m. Labor Day)
Accepts credit cards
Vegan options (falafel)
Vegetarian options (tirokroketes, feta bites, french fries)","Open 9 a.m. to 11 p.m. (9 p.m. Labor Day)
Accepts credit cards
Vegan options (falafel)
Vegetarian options (tirokroketes, feta bites, french fries)","Athletic Lite Non-Alcoholic Beer
Bent Brewstillery Greek Cookie (NEW)
Bomba Bull Frose All Day Slushy
Coors Light
Deschutes Fresh Squeezed IPA
Firestone Walker Mind Haze IPA
Golden Road Mango Cart
Grain Belt Blu
Gray Duck Bomba Juice Hard Seltzer
Hamm's
Indeed Cucumber Lemon Lager (NEW)
Invictus Appleshine Mango Hard Cider (NEW)
Jack Daniel's Country Cocktail Downhome Punch
Kona Big Wave Golden Ale
Lagunitas Hoppy Refresher Non-Alcoholic
Leinenkugel's Summer Shandy
Michelob Golden Draft Light
Summit Extra Pale Ale
Summit Oktoberfest
Surly Aphrodite’s Gift (NEW)
Surly Furious IPA
Urban Growler Ginger Basil Limeade Hard Seltzer Cocktail (NEW)","gyros, spicy gyros, meal combos (french fries, Greek fries, soft drinks), chicken gyros, Pepsi, Mountain Dew, Starry, Mug Root Beer, Falafel pita sandwich, Feta Bites, Diet Pepsi, bottled water, beer, Tirokroketes (spicy feta, cream cheese, mozzarella, Dino's Greek seasoning, gluten-free panko, lemon juice, Parmesan cheese, gluten-free, vegetarian)","gyros, spicy gyros, meal combos (french fries, Greek fries, soft drinks), chicken gyros, Pepsi, Mountain Dew, Starry, Mug Root Beer, Falafel pita sandwich, Feta Bites, Diet Pepsi, bottled water, beer, Tirokroketes (spicy feta, cream cheese, mozzarella, Dino's Greek seasoning, gluten-free panko, lemon juice, Parmesan cheese, gluten-free, vegetarian)","dinos, giros, gyro, soda, pop, cola, soda, pop, sierra mist, lemon, lime, soda, pop, soda, pop, rootbeer, soda, pop, cola, diet soda, diet pop, waterbottle, bottle, soda, pop, cola, soda, pop, sierra mist, lemon, lime, soda, pop, soda, pop, rootbeer, soda, pop, cola, diet soda, diet pop, waterbottle, bottle",North side of Carnes Ave. between Nelson & Underwood streets,44.98005278481013,-93.17106894423077,1,"[2, 34, 38, 40]",[]
1466.1,20534,1466,1466,1466-1,1466-1,1,1,Star Tribune,1466.1,,,,"Homer Hankies merchandise (mugs, books, collectibles), Star Tribune T-shirts, sweatshirts, umbrellas, mugs, posters, newspapers, baseball caps, newspaper subscriptions, Information and newspaper displays, State Fair Maps","Homer Hankies merchandise (mugs, books, collectibles), Star Tribune T-shirts, sweatshirts, umbrellas, mugs, posters, newspapers, baseball caps, newspaper subscriptions, Information and newspaper displays, State Fair Maps",,North side of Carnes Ave. between Chambers & Nelson streets,44.98000982733813,-93.17342118269231,0,"[9, 1, 10, 34, 38]",[]
1476.1,20413,1476,1476,1476-1,1476-1,1,1,Nordic Waffles,1476.1,"Open 7 a.m. to 9 p.m.
Accepts credit cards","Open 7 a.m. to 9 p.m.
Accepts credit cards",,"Nordic berry lemonade (fresh-squeezed lemons with an infusion of Nordic berry sauce), coffee, All-Day Breakfast fresh-made waffle wraps (egg, bacon, cheddar), Berries & Cream fresh-made waffle wraps (raspberry and strawberry mixture with vanilla cream), Cinna-Sugar Butter fresh-made waffle wraps (cinnamon, sugar, butter), Turkey Chipotle Club fresh-made waffle wraps (turkey, bacon, mixed greens, sriracha mayo sauce), bottled water, S'more fresh-made waffle wraps (marshmallow crème, crumbled graham crackers, Nutella), Slammin' Salmon on-a-stick (Norwegian-smoked salmon, cream cheese, green onions), Belly Full Nordic Waffle (spring onion-infused waffle, sous vide seasoned pork belly, coleslaw, jalapeño jam), Arnold Palmer, Nordic Spiced Tea (black tea, lemonade, cinnamon, cardamon, cloves, ginger, orange, garnished with star anise), Pebbles and Bam Bam fresh-made waffle wraps (peanut butter cups, fruity cereal), Bacon-Wrapped Waffle Dog (bacon-wrapped hot dog, cheddar cheese, pickle slices, crispy onions, drizzled with burger sauce), “Kind of a Big Dill” Pickle Lemonade","Nordic berry lemonade (fresh-squeezed lemons with an infusion of Nordic berry sauce), coffee, All-Day Breakfast fresh-made waffle wraps (egg, bacon, cheddar), Berries & Cream fresh-made waffle wraps (raspberry and strawberry mixture with vanilla cream), Cinna-Sugar Butter fresh-made waffle wraps (cinnamon, sugar, butter), Turkey Chipotle Club fresh-made waffle wraps (turkey, bacon, mixed greens, sriracha mayo sauce), bottled water, S'more fresh-made waffle wraps (marshmallow crème, crumbled graham crackers, Nutella), Slammin' Salmon on-a-stick (Norwegian-smoked salmon, cream cheese, green onions), Belly Full Nordic Waffle (spring onion-infused waffle, sous vide seasoned pork belly, coleslaw, jalapeño jam), Arnold Palmer, Nordic Spiced Tea (black tea, lemonade, cinnamon, cardamon, cloves, ginger, orange, garnished with star anise), Pebbles and Bam Bam fresh-made waffle wraps (peanut butter cups, fruity cereal), Bacon-Wrapped Waffle Dog (bacon-wrapped hot dog, cheddar cheese, pickle slices, crispy onions, drizzled with burger sauce), “Kind of a Big Dill” Pickle Lemonade","nordick, wafles, nordic-waffles, nordicwaffles, wafle, breakfast, new, lemon ade, lemon-aid, lemonaid, lemon-ade, waterbottle, bottle, half iced tea, half lemonade, ice tea, icetea, icedtea, lemon ade, lemon-aid, lemonaid, lemon-ade, pickle juice, pickel, pikle, picle, lemon ade, lemon-aid, lemonaid, lemon-ade, waterbottle, bottle, half iced tea, half lemonade, ice tea, icetea, icedtea, lemon ade, lemon-aid, lemonaid, lemon-ade, pickle juice, pickel, pikle, picle","At West End Market, south section",44.98086661408919,-93.17701624868663,1,"[2, 34, 61, 63]",[]
